filename,perfect_issue_recall,motivi_found,section_start,section_end,qualifies
Sentenza_U09_10_2022.json,False,False,,,False
Sentenza_U13_1015_2022.json,True,True,3477.0,9922.0,True
Sentenza_U17_119_2022.json,True,True,5103.0,8600.0,True
Sentenza_U24_1913_2022.json,True,True,4284.0,8171.0,True
Sentenza_U75_247_2021.json,True,True,824.0,2393.0,True
Sentenza_U91_11131_2023.json,True,True,7965.0,11382.0,True
Sentenza_U91_485_2022.json,True,True,2263.0,4308.0,True
Sentenza_U91_5452_2021.json,True,True,3845.0,8736.0,True
Sentenza_U91_9814_2021.json,False,True,4103.0,6686.0,False
Sentenza_U93_56_2022.json,True,True,2006.0,3750.0,True
Sentenza_V06_822_2023.json,True,True,3296.0,4765.0,True
Sentenza_V10_10757_2023.json,True,True,2744.0,16849.0,True
Sentenza_V10_14484_2023.json,True,True,2358.0,7856.0,True
Sentenza_V10_14619_2023.json,True,True,1314.0,5494.0,True
Sentenza_V10_14727_2023.json,True,True,1652.0,4104.0,True
Sentenza_V10_3453_2023.json,True,True,3756.0,6087.0,True
Sentenza_V10_4293_2021.json,False,False,,,False
Sentenza_V10_7264_2021.json,False,True,2243.0,3587.0,False
Sentenza_V10_7817_2023.json,True,True,2274.0,3731.0,True
Sentenza_V10_8090_2023.json,True,True,2838.0,5040.0,True
Sentenza_V12_962_2022.json,False,True,11911.0,15978.0,False
Sentenza_V16_372_2022.json,True,True,2662.0,7026.0,True
Sentenza_V20_830_2022.json,True,True,2139.0,4560.0,True
Sentenza_V20_943_2021.json,True,False,,,False
Sentenza_V22_1763_2021.json,False,False,,,False
Sentenza_V22_3848_2021.json,True,True,2574.0,5670.0,True
Sentenza_V22_4978_2023.json,True,True,3296.0,4828.0,True
Sentenza_V22_5547_2023.json,True,True,2856.0,15088.0,True
Sentenza_V31_1512_2022.json,True,True,5122.0,7347.0,True
Sentenza_V31_207_2021.json,True,True,3003.0,4104.0,True
Sentenza_V31_2235_2021.json,True,False,,,False
Sentenza_V40_2713_2023.json,False,True,12880.0,17281.0,False
Sentenza_V40_875_2022.json,True,True,886.0,2026.0,True
Sentenza_V40_9206_2021.json,True,False,,,False
Sentenza_V43_3075_2022.json,True,True,2521.0,3422.0,True
Sentenza_V43_3256_2021.json,False,True,1781.0,3772.0,False
Sentenza_V43_3667_2023.json,True,False,,,False
Sentenza_V50_1992_2021.json,True,False,,,False
Sentenza_V63_169_2023.json,False,True,6253.0,9980.0,False
Sentenza_Z11_370_2021.json,True,False,,,False
Sentenza_Z29_1812_2023.json,False,True,4753.0,14508.0,False
Sentenza_Z29_2235_2023.json,True,True,4158.0,5371.0,True
Sentenza_Z29_513_2022.json,True,False,,,False
Sentenza_Z29_6436_2022.json,True,False,,,False
Sentenza_Z29_7548_2021.json,False,True,1896.0,6192.0,False
Sentenza_Z29_7978_2022.json,True,True,3128.0,3801.0,True
Sentenza_Z31_3048_2022.json,True,True,4271.0,6965.0,True
Sentenza_Z31_3163_2023.json,True,True,4523.0,23187.0,True
Sentenza_Z46_8006_2023.json,True,True,1963.0,11463.0,True
Sentenza_Z55_4587_2022.json,True,True,2340.0,3627.0,True
